id,user_id,course_id,enrollment_mode,is_active,weeks_since_enrollment,mooc_grade_percentage,mooc_letter_grade,mooc_is_passed,progress_percent,current_chapter,current_section,current_unit,mooc_completion_rate,overall_completion,completed_blocks,total_blocks,last_activity,days_since_last_activity,access_frequency,active_days,h5p_total_contents,h5p_completed_contents,h5p_total_score,h5p_total_max_score,h5p_overall_percentage,h5p_total_time_spent,h5p_completion_rate,video_total_videos,video_completed_videos,video_in_progress_videos,video_total_duration,video_total_watched_time,video_completion_rate,video_watch_rate,quiz_attempts,h5p_avg_score,quiz_completion_rate,forum_posts,forum_comments,forum_upvotes,discussion_threads_count,discussion_comments_count,discussion_total_interactions,discussion_questions_count,discussion_total_upvotes,relative_to_course_problem_score,relative_to_course_completion,relative_to_course_video_completion,relative_to_course_discussion,performance_percentile,is_below_course_average,is_top_performer,is_bottom_performer,updated_at,extraction_batch_id,is_passed
42,169,course-v1:DHQG-HCM+FM101+2025_S2,audit,1,28.0,86.0,Pass,1.0,100.0,Chương 12: Một số vấn đề cơ bản về tỷ giá,Chế độ tỷ giá và chính sách tỷ giá,Chế độ tỷ giá và chính sách tỷ giá,99.15,100.0,181,181,2025-11-09 17:50:48,134,0.0,0,90,90,10145,10145,100.0,157145,100.0,91,91,0,70353,70353,100.0,100.0,90,100.0,100.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,90.0,0,1,0,2026-03-23 10:33:23,,1
43,170,course-v1:DHQG-HCM+FM101+2025_S2,audit,1,28.0,85.0,Pass,1.0,100.0,Bài kiểm tra 05: Các vấn đề cơ bản về tỷ giá (Chương 12),Bài kiểm tra 05: Các vấn đề cơ bản về tỷ giá (Chương 12),Bài kiểm tra 05: Các vấn đề cơ bản về tỷ giá (Chương 12),99.15,100.0,181,181,2025-11-13 00:22:58,130,0.0,0,90,90,10145,10145,100.0,0,100.0,91,91,0,70353,70353,100.0,100.0,90,100.0,100.0,0,0,0,4,8,12,0,0,0.0,0.0,0.0,12.0,90.0,0,1,0,2026-03-23 10:33:23,,1
44,175,course-v1:DHQG-HCM+FM101+2025_S2,audit,1,27.0,80.0,Pass,1.0,60.22,"Bài kiểm tra 04_Các vấn đề cơ bản về lãi suất (Chương 8,9,10,11)","Bài kiểm tra 04_Các vấn đề cơ bản về lãi suất (Chương 8,9,10,11)","Bài kiểm tra 04_Các vấn đề cơ bản về lãi suất (Chương 8,9,10,11)",67.52,60.22,109,181,2025-11-25 16:24:20,118,0.0,0,54,54,6165,6165,100.0,0,100.0,55,55,0,44334,44334,100.0,100.0,54,100.0,100.0,0,0,0,15,36,51,0,7,0.0,0.0,0.0,51.0,90.0,0,1,0,2026-03-23 10:33:23,,1
45,179,course-v1:DHQG-HCM+FM101+2025_S2,audit,1,26.0,83.0,Pass,1.0,100.0,Tổng kết môn học,Tổng kết môn học,Tổng kết môn học,99.15,100.0,181,181,2025-11-12 18:22:20,131,0.0,0,90,90,10145,10145,100.0,34665,100.0,91,91,0,70353,70353,100.0,100.0,90,100.0,100.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,90.0,0,1,0,2026-03-23 10:33:23,,1
46,180,course-v1:DHQG-HCM+FM101+2025_S2,audit,1,27.0,87.0,Pass,1.0,100.0,Bài kiểm tra 05: Các vấn đề cơ bản về tỷ giá (Chương 12),Bài kiểm tra 05: Các vấn đề cơ bản về tỷ giá (Chương 12),Bài kiểm tra 05: Các vấn đề cơ bản về tỷ giá (Chương 12),99.15,100.0,181,181,2025-11-19 09:45:45,124,0.0,0,90,90,10145,10145,100.0,102320,100.0,91,91,0,70353,70353,100.0,100.0,90,100.0,100.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,90.0,0,1,0,2026-03-23 10:33:23,,1
47,181,course-v1:DHQG-HCM+FM101+2025_S2,audit,1,27.0,28.0,,0.0,100.0,Tổng kết môn học,Tổng kết môn học,Tổng kết môn học,96.58,100.0,181,181,2025-11-23 16:39:48,120,0.0,0,90,90,10145,10145,100.0,0,100.0,91,91,0,70353,70353,100.0,100.0,90,100.0,100.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,90.0,0,1,0,2026-03-23 10:33:23,,0
48,182,course-v1:DHQG-HCM+FM101+2025_S2,audit,1,27.0,85.0,Pass,1.0,93.37,Bài kiểm tra 05: Các vấn đề cơ bản về tỷ giá (Chương 12),Bài kiểm tra 05: Các vấn đề cơ bản về tỷ giá (Chương 12),Bài kiểm tra 05: Các vấn đề cơ bản về tỷ giá (Chương 12),94.02,93.37,169,181,2025-11-17 16:21:54,126,0.0,0,84,84,9395,9395,100.0,782610,100.0,85,85,0,66376,66376,100.0,100.0,84,100.0,100.0,0,0,0,0,4,4,0,0,0.0,0.0,0.0,4.0,90.0,0,1,0,2026-03-23 10:33:23,,1
49,184,course-v1:DHQG-HCM+FM101+2025_S2,audit,1,26.0,90.0,Pass,1.0,100.0,Chương 7: Các định chế tài chính trung gian,Trung gian tài chính Fintech,Trung gian tài chính Fintech,98.29,100.0,181,181,2025-11-18 00:42:12,125,0.0,0,90,90,10145,10145,100.0,0,100.0,91,91,0,70353,70353,100.0,100.0,90,100.0,100.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,90.0,0,1,0,2026-03-23 10:33:23,,1
50,185,course-v1:DHQG-HCM+FM101+2025_S2,audit,1,27.0,84.0,Pass,1.0,100.0,Bài kiểm tra 05: Các vấn đề cơ bản về tỷ giá (Chương 12),Bài kiểm tra 05: Các vấn đề cơ bản về tỷ giá (Chương 12),Bài kiểm tra 05: Các vấn đề cơ bản về tỷ giá (Chương 12),99.15,100.0,181,181,2025-11-15 15:54:05,128,0.0,0,90,90,10145,10145,100.0,0,100.0,91,91,0,70353,70353,100.0,100.0,90,100.0,100.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,90.0,0,1,0,2026-03-23 10:33:23,,1
51,186,course-v1:DHQG-HCM+FM101+2025_S2,audit,1,27.0,87.0,Pass,1.0,100.0,Giới thiệu,Tổng quan khóa học,Tổng quan khóa học,99.15,100.0,181,181,2025-11-23 07:42:25,120,0.0,0,90,90,8116,8116,100.0,0,100.0,91,91,0,70353,70353,100.0,100.0,90,100.0,100.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,90.0,0,1,0,2026-03-23 10:33:23,,1
